"","INCIDENT_ID_KS","KS_COMPLEX_NAME","COMPLEX_FLAG","LTFS_DAY","LTFS_FIRE","REPORT_YEAR","INCIDENT_NUMBER","ST_INCNUM","REPORT_DATE","REPORT_DOY","HOUR","INCIDENT_NAME","START_YEAR","START_DATE","START_DOY","START_DATE_CORRECTED","START_DOY_CORRECTED","STATUS","AREA","AREA_MEASUREMENT","TYPE_INC","SUPPRESSION_METHOD","IC_NAME","IMT_TYPE","IMT_TYPE_DESCRIPTION","CAUSE","CAUSE_DESCR","COUNTY","LATITUDE","LONGITUDE","LL_QC","UN_USTATE","UN_UNITID","NWCG_UNITID","GACC","UnitType","Department","Agency","OWNERSHIP_STATE","OWNERSHIP_UNITID","P_CONTAIN","PERCENT_MMA","EXP_CONTAIN","LINE_TO_BUILD","LINE_MEASUREMENT","EST_CONTROL","DEMOBE_START","CONTROLLED_DATE","INJURIES_TO_DATE","INJURIES","FATALITIES","EVACUATION_IN_PROGRESS","NO_EVACUATION","POTENTIAL","NO_LIKELY","C_WIND_SPEED","C_WIND_DIRECTION","C_TEMP","C_TEMPH","C_TEMPL","C_RH","C_RHL","C_RHH","F_WIND_SPEED","F_WIND_DIRECTION","F_TEMP","F_TEMPL","F_TEMPH","F_RH","F_RHL","F_RHH","PRIMARY_FUEL_MODEL","GROWTH_POTENTIAL","TERRAIN","GACC_PRIORITY","DISPATCH_PRIORITY","UNIT_TYPE","ST_INC","ST_UNIT","FSCLASS","MAX_AREA_INC","FSCLASS_INC","AREA_Log","SUPPRESSION_BI","SUPP_DECREASE","SUPP_MIX","IMT_NUM"
"1","2011_ID-BOF-000464_CASTRO",NA,NA,1,NA,2011,"ID-BOF-000464","ID","29-Aug-11",241,1624,"CASTRO",2011,"4-Aug-11",216,"4-Aug-11",216,"U",279,"ACRES","WF","CC","REX MILLER","5","Type 4 IC","L","Lightning","BOISE",44.208611,115.3575,NA,"ID","BOF","IDBOF","EB","Federal","USDA","FS","ID","BOF",0,"M",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Extreme","Extreme",NA,1,"Federal","ID","ID","D",4853,"F",5.63478960316925,"NFS","0","0",5
"2","2011_ID-SCF-011175_SADDLE COMPLEX","SADDLE COMPLEX","1",1,NA,2011,"ID-SCF-011175","ID","29-Aug-11",241,1700,"SADDLE COMPLEX",2011,"18-Aug-11",230,"10-Aug-11",222,"U",11821,"ACRES","WF","PZ","Bob Houseman","1","Type 1 Team","L","Lightning","Lemhi",45.516667,114.510833,NA,"ID","SCF","IDSCF","EB","Federal","USDA","FS","ID","SCF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","N",23,"SW",112,67,67,52,17,17,116,"SW",180,55,50,136,20,21,"10","High","Extreme",2,NA,"Federal","ID","ID","G",16834,"G",9.37771748138431,"NFS","0","2",1
"3","2011_WY-BTF-004_RED ROCK COMPLEX","RED ROCK COMPLEX","1",1,NA,2011,"WY-BTF-004","WY","29-Aug-11",241,1700,"RED ROCK",2011,"20-Aug-11",232,"20-Aug-11",232,"U",7048,"ACRES","WF","CC","Johnston","3","Type 3 Team","L","Lightning","Teton",43.562778,110.395278,NA,"WY","BTF","WYBTF","EB","Federal","USDA","FS","WY","BTF",279000,"M",NA,NA,"CHAINS",NA,NA,NA,1,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","High","Medium",4,1,"Federal","WY","WY","G",12138,"G",8.86064104177388,"NFS","0","0",3
"4","2013_MT-HNF-00014_SWEATS COMPLEX","SWEATS COMPLEX","1",NA,NA,2013,"MT-HNF-00014","MT","21-May-13",141,1715,"SWEATS COMPLEX",2013,"16-May-13",136,"15-May-13",135,"F",457,"ACRES","WF","FS","Anthony Emacio","5","Type 4 IC","U","Under Investigation","Lewis & Clark",46.796667,111.776667,NA,NA,NA,"MTHNF","NR","Federal","USDA","FS","MT","HNF(MT-HDC)",100,"P","20-May-13",0,"CHAINS","27-May-13",NA,NA,1,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Low","High",NA,NA,"Federal","MT",NA,"E",457,"E",6.12686918411419,"FS","0","0",5
"5","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","14-May-13",134,1000,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"I",400,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","U","Under Investigation","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"Y","N","Y","N",161,"W",64,59,48,31,10,23,115,"West",97,40,45,58,10,23,"10","Medium","High",NA,NA,"State","MT",NA,"E",400,"E",5.99396142730657,"FS","0","0",4
"6","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","14-May-13",134,1700,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"U",349,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","U","Under Investigation","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",20,"P",NA,20,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",127,"W",64,59,48,23,9,22,26,"West",97,40,45,42,8,22,"10","Medium","High",NA,NA,"State","MT",NA,"E",400,"E",5.99396142730657,"FS","0","0",4
"7","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","14-May-13",134,1720,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"U",349,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","U","Under Investigation","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",20,"P",NA,200,"CHAINS",NA,NA,NA,0,0,0,"Y","N","Y","N",127,"W",64,59,48,23,9,22,26,"West",97,40,45,42,8,22,"10","Medium","High",NA,NA,"State","MT",NA,"E",400,"E",5.99396142730657,"FS","0","0",4
"8","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","15-May-13",135,1145,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"U",NA,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","H","Human","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",NA,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Medium","High",NA,NA,"State","MT",NA,NA,400,"E",5.99396142730657,"FS","0","0",4
"9","2013_MT-HNF-00014_SWEATS COMPLEX","SWEATS COMPLEX","1",NA,NA,2013,"MT-HNF-00014","MT","15-May-13",135,1800,"SWEATS COMPLEX",2013,"15-May-13",135,"15-May-13",135,"I",231,"ACRES","WF","FS","Beagley","4","Type 3 IC","U","Under Investigation","Lewis & Clark",46.796667,111.776667,NA,NA,NA,"MTHNF","NR","Federal","USDA","FS","MT","HNF(MT-HDC)",0,"P",NA,0,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","N",9,"SW",79,56,56,38,12,12,97,"east",94,40,40,144,21,28,"2","Medium","High",NA,NA,"Federal","MT",NA,"D",457,"E",6.12686918411419,"FS","0","0",4
"10","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","15-May-13",135,1810,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"U",349,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","H","Human","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",79,"P","20-May-13",NA,"CHAINS",NA,NA,NA,0,NA,0,"N","Y","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Medium","High",NA,NA,"State","MT",NA,"E",400,"E",5.99396142730657,"FS","0","0",4
