"","INCIDENT_ID_KS","KS_COMPLEX_NAME","COMPLEX_FLAG","LTFS_DAY","LTFS_FIRE","REPORT_YEAR","INCIDENT_NUMBER","ST_INCNUM","REPORT_DATE","REPORT_DOY","HOUR","INCIDENT_NAME","START_YEAR","START_DATE","START_DOY","START_DATE_CORRECTED","START_DOY_CORRECTED","STATUS","AREA","AREA_MEASUREMENT","TYPE_INC","SUPPRESSION_METHOD","IC_NAME","IMT_TYPE","IMT_TYPE_DESCRIPTION","CAUSE","CAUSE_DESCR","COUNTY","LATITUDE","LONGITUDE","LL_QC","UN_USTATE","UN_UNITID","NWCG_UNITID","GACC","UnitType","Department","Agency","OWNERSHIP_STATE","OWNERSHIP_UNITID","P_CONTAIN","PERCENT_MMA","EXP_CONTAIN","LINE_TO_BUILD","LINE_MEASUREMENT","EST_CONTROL","DEMOBE_START","CONTROLLED_DATE","INJURIES_TO_DATE","INJURIES","FATALITIES","EVACUATION_IN_PROGRESS","NO_EVACUATION","POTENTIAL","NO_LIKELY","C_WIND_SPEED","C_WIND_DIRECTION","C_TEMP","C_RH","F_WIND_SPEED","F_WIND_DIRECTION","F_TEMP","F_RH","PRIMARY_FUEL_MODEL","GROWTH_POTENTIAL","TERRAIN","GACC_PRIORITY","DISPATCH_PRIORITY"
"1","2011_ID-BOF-000464_CASTRO",NA,NA,1,NA,2011,"ID-BOF-000464","ID","29-Aug-11",241,1624,"CASTRO",2011,"04-Aug-11",216,"04-Aug-11",216,"U",279,"ACRES","WF","CC","REX MILLER","5","Type 4 IC","L","Lightning","BOISE",44.208611,115.3575,NA,"ID","BOF","IDBOF","EB","Federal","USDA","FS","ID","BOF",0,"M",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,10,"Extreme","Extreme",NA,1
"2","2011_ID-SCF-011175_SADDLE COMPLEX","SADDLE COMPLEX",1,1,NA,2011,"ID-SCF-011175","ID","29-Aug-11",241,1700,"SADDLE COMPLEX",2011,"18-Aug-11",230,"10-Aug-11",222,"U",11821,"ACRES","WF","PZ","Bob Houseman","1","Type 1 Team","L","Lightning","Lemhi",45.516667,114.510833,NA,"ID","SCF","IDSCF","EB","Federal","USDA","FS","ID","SCF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","N","11","SW","77","21","10-15","SW","74","24",10,"High","Extreme",2,NA
"3","2011_WY-BTF-004_RED ROCK COMPLEX","RED ROCK COMPLEX",1,1,NA,2011,"WY-BTF-004","WY","29-Aug-11",241,1700,"RED ROCK",2011,"20-Aug-11",232,"20-Aug-11",232,"U",7048,"ACRES","WF","CC","Johnston","3","Type 3 Team","L","Lightning","Teton",43.562778,110.395278,NA,"WY","BTF","WYBTF","EB","Federal","USDA","FS","WY","BTF",279000,"M",NA,NA,"CHAINS",NA,NA,NA,1,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,10,"High","Medium",4,1
"4","2013_MT-HNF-00014_SWEATS COMPLEX","SWEATS COMPLEX",1,NA,NA,2013,"MT-HNF-00014","MT","21-May-13",141,1715,"SWEATS COMPLEX",2013,"16-May-13",136,"15-May-13",135,"F",457,"ACRES","WF","FS","Anthony Emacio","5","Type 4 IC","U","Under Investigation","Lewis & Clark",46.796667,111.776667,NA,NA,NA,"MTHNF","NR","Federal","USDA","FS","MT","HNF(MT-HDC)",100,"P","20-May-13",0,"CHAINS","27-May-13",NA,NA,1,NA,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,2,"Low","High",NA,NA
"5","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","14-May-13",134,1000,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"I",400,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","U","Under Investigation","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"Y","N","Y","N","25","W","60-70","16-26","5-15","West","60-70","16-26",10,"Medium","High",NA,NA
"6","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","14-May-13",134,1700,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"U",349,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","U","Under Investigation","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",20,"P",NA,20,"CHAINS",NA,NA,NA,0,NA,0,"N","N","N","N","20","W","60-70","15-25","5-10","West","60-70","15-25",10,"Medium","High",NA,NA
"7","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","14-May-13",134,1720,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"U",349,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","U","Under Investigation","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",20,"P",NA,200,"CHAINS",NA,NA,NA,0,0,0,"Y","N","Y","N","20","W","60-70","15-25","5-10","West","60-70","15-25",10,"Medium","High",NA,NA
"8","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","15-May-13",135,1145,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"U",NA,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","H","Human","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",NA,"P",NA,NA,"CHAINS",NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"Medium","High",NA,NA
"9","2013_MT-HNF-00014_SWEATS COMPLEX","SWEATS COMPLEX",1,NA,NA,2013,"MT-HNF-00014","MT","15-May-13",135,1800,"SWEATS COMPLEX",2013,"15-May-13",135,"15-May-13",135,"I",231,"ACRES","WF","FS","Beagley","4","Type 3 IC","U","Under Investigation","Lewis & Clark",46.796667,111.776667,NA,NA,NA,"MTHNF","NR","Federal","USDA","FS","MT","HNF(MT-HDC)",0,"P",NA,0,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","N","0-5","SW","67","18","15","east","60-65","25-30",2,"Medium","High",NA,NA
"10","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","15-May-13",135,1810,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"U",349,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","H","Human","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",79,"P","20-May-13",NA,"CHAINS",NA,NA,NA,0,NA,0,"N","Y","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,10,"Medium","High",NA,NA
"11","2013_MT-HNF-00014_SWEATS COMPLEX","SWEATS COMPLEX",1,NA,NA,2013,"MT-HNF-00014","MT","16-May-13",136,1600,"SWEATS COMPLEX",2013,"16-May-13",136,"15-May-13",135,"U",457,"ACRES","WF","FS","Corey Buhl","4","Type 3 IC","U","Under Investigation","Lewis & Clark",46.796667,111.776667,NA,NA,NA,"MTHNF","NR","Federal","USDA","FS","MT","HNF(MT-HDC)",60,"P",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","Y","10","E","67","31","15","NE","63","40",2,"Low","High",NA,NA
"12","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","16-May-13",136,1715,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"U",349,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","H","Human","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",90,"P","20-May-13",NA,"CHAINS",NA,"16-May-13",NA,0,0,0,"N","Y","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,10,"Medium","High",NA,NA
"13","2013_MT-HNF-00014_SWEATS COMPLEX","SWEATS COMPLEX",1,NA,NA,2013,"MT-HNF-00014","MT","17-May-13",137,1745,"SWEATS COMPLEX",2013,"16-May-13",136,"15-May-13",135,"U",457,"ACRES","WF","FS","Matt Plagenz","4","Type 3 IC","U","Under Investigation","Lewis & Clark",46.796667,111.776667,NA,NA,NA,"MTHNF","NR","Federal","USDA","FS","MT","HNF(MT-HDC)",75,"P",NA,NA,"CHAINS",NA,NA,NA,1,1,0,"N","N","N","Y","10","S","52","45","10","NW","60","40",2,"Low","High",NA,NA
"14","2013_MT-HNF-00014_SWEATS COMPLEX","SWEATS COMPLEX",1,NA,NA,2013,"MT-HNF-00014","MT","18-May-13",138,1730,"SWEATS COMPLEX",2013,"16-May-13",136,"15-May-13",135,"U",457,"ACRES","WF","FS","Matt Plagenz","4","Type 3 IC","U","Under Investigation","Lewis & Clark",46.796667,111.776667,NA,NA,NA,"MTHNF","NR","Federal","USDA","FS","MT","HNF(MT-HDC)",95,"P",NA,NA,"CHAINS",NA,NA,NA,1,1,0,"N","N","N","Y","10","NW","65","39","7-12","W","60","58",2,"Low","High",NA,NA
"15","2013_MT-HNF-00014_SWEATS COMPLEX","SWEATS COMPLEX",1,NA,NA,2013,"MT-HNF-00014","MT","19-May-13",139,1745,"SWEATS COMPLEX",2013,"16-May-13",136,"15-May-13",135,"U",457,"ACRES","WF","FS","Anthony Emacio","5","Type 4 IC","U","Under Investigation","Lewis & Clark",46.796667,111.776667,NA,NA,NA,"MTHNF","NR","Federal","USDA","FS","MT","HNF(MT-HDC)",95,"P","20-May-13",0,"CHAINS",NA,NA,NA,1,0,0,"N","N","N","N","7","NW","59","51","0-5","NE","59-64","44-49",2,"Low","High",NA,NA
"16","2013_MT-HNF-00014_SWEATS COMPLEX","SWEATS COMPLEX",1,NA,NA,2013,"MT-HNF-00014","MT","20-May-13",140,1715,"SWEATS COMPLEX",2013,"16-May-13",136,"15-May-13",135,"U",NA,"ACRES","WF","FS","Anthony Emacio","5","Type 4 IC","U","Under Investigation","Lewis & Clark",46.796667,111.776667,NA,NA,NA,"MTHNF","NR","Federal","USDA","FS","MT","HNF(MT-HDC)",NA,"P","20-May-13",NA,"CHAINS",NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Low","High",NA,NA
"17","2013_MT-SWS-000302_RUMSEY GULCH",NA,NA,NA,NA,2013,"MT-SWS-000302","MT","23-May-13",143,830,"RUMSEY GULCH",2013,"13-May-13",133,"13-May-13",133,"F",349,"ACRES","WF","FS","Joe Brabender","4","Type 3 IC","H","Human","Granite",46.290833,113.283056,NA,NA,NA,"MTSWS","NR","State","MT","DNRC","MT","SWS",100,"P","19-May-13",NA,"CHAINS",NA,"16-May-13","19-May-13",0,NA,0,"N","Y","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,10,"Medium","High",NA,NA
"18","2013_ID-BOF-000422_FRAISER",NA,NA,NA,NA,2013,"ID-BOF-000422","ID","07-Jul-13",188,1530,"FRAISER",2013,"07-Jul-13",188,"07-Jul-13",188,"I",250,"ACRES","WF","FS","GOOD","4","Type 3 IC","H","Human","BOISE",44.094722,116.043333,NA,NA,NA,"IDBOF","EB","Federal","USDA","FS","ID","BOF",0,"P",NA,NA,"CHAINS",NA,NA,NA,0,0,0,"N","N","Y","N",NA,NA,NA,NA,"8-10-24","SW","89","16",2,"High","High",1,1
"19","2013_ID-SCF-13110_BIRCH",NA,NA,NA,NA,2013,"ID-SCF-13110","ID","08-Jul-13",189,1815,"BIRCH",2013,"06-Jul-13",187,"06-Jul-13",187,"U",400,"ACRES","WF","FS","Jeff Schricker","4","Type 3 IC","L","Lightning","Lemhi",45.255278,114.323889,NA,NA,NA,"IDSCF","EB","Federal","USDA","FS","ID","SCF",50,"P",NA,NA,"CHAINS",NA,"11-Jul-13",NA,0,NA,0,"N","N","N","N","30","NW","92","17","3-5","W","94","12",5,"Medium","High",2,NA
"20","2013_ID-NPF-311_BAILEY",NA,NA,1,NA,2013,"ID-NPF-311","ID","15-Jul-13",196,1500,"BAILEY",2013,"14-Jul-13",195,"14-Jul-13",195,"I",5,"ACRES","WF","MM","n/a",NA,NA,"L","Lightning","Idaho",46.266389,114.891667,NA,NA,NA,"IDNPF","NR","Federal","USDA","FS","ID","NPF",0,"P","01-Dec-13",NA,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,10,"Medium","High",NA,NA
