FID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,UID,INCIDENT_I,START_DATE,LATITUDE,LONGITUDE,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_id,GEO_id2,GEO_displa,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,Total,LessThan10,F10to15,F15to20,F20to25,F25to30,F30to35,F35to40,F40to45,F50to59,F60to69,F70to79,F80to89,F90to99,F100to124,F125to149,F150to174,F175to199,F200to249,F250to299,F300to399,F400to499,F500to749,F750to999,F1000to149,F1500to199,F2000_Or_M
0,5,4359,1,0,10399,2012_MT-FHA-127_PERMA BRIDGE,8/19/12,47.375278,-114.595833,30,89,940300,30089940300,9403,Census Tract 9403,G5020,S,1857233542,14721200,47.4766889,-114.5637949,1400000US30089940300,30089940300,"Census Tract 9403, Sanders County, Montana",612,53,23,13,12,9,0,10,12,9,5,4,25,15,14,8,15,8,53,14,18,10,31,13,56,17,22,13,64,20,37,15,38,17,20,12,54,24,45,18,19,11,11,10,26,12,8,8,4,4,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,802,1,1,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09,48.971944,-117.904722,53,65,950100,53065950100,9501,Census Tract 9501,G5020,S,1741564196,68834193,48.8298484,-117.8756194,1400000US53065950100,53065950100,"Census Tract 9501, Stevens County, Washington",2204,186,34,31,0,17,7,8,43,34,40,30,27,14,5,8,23,16,15,13,46,30,82,42,144,54,148,78,213,74,136,43,306,90,142,53,255,63,146,54,173,55,148,95,64,39,0,17,7,8,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,803,1,2,44327,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09,48.971944,-117.904722,53,65,950100,53065950100,9501,Census Tract 9501,G5020,S,1741564196,68834193,48.8298484,-117.8756194,1400000US53065950100,53065950100,"Census Tract 9501, Stevens County, Washington",2204,186,34,31,0,17,7,8,43,34,40,30,27,14,5,8,23,16,15,13,46,30,82,42,144,54,148,78,213,74,136,43,306,90,142,53,255,63,146,54,173,55,148,95,64,39,0,17,7,8,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,804,1,3,49267,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09,48.971944,-117.904722,53,65,950100,53065950100,9501,Census Tract 9501,G5020,S,1741564196,68834193,48.8298484,-117.8756194,1400000US53065950100,53065950100,"Census Tract 9501, Stevens County, Washington",2204,186,34,31,0,17,7,8,43,34,40,30,27,14,5,8,23,16,15,13,46,30,82,42,144,54,148,78,213,74,136,43,306,90,142,53,255,63,146,54,173,55,148,95,64,39,0,17,7,8,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,805,1,4,37573,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09,48.971944,-117.904722,53,65,950100,53065950100,9501,Census Tract 9501,G5020,S,1741564196,68834193,48.8298484,-117.8756194,1400000US53065950100,53065950100,"Census Tract 9501, Stevens County, Washington",2204,186,34,31,0,17,7,8,43,34,40,30,27,14,5,8,23,16,15,13,46,30,82,42,144,54,148,78,213,74,136,43,306,90,142,53,255,63,146,54,173,55,148,95,64,39,0,17,7,8,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,806,1,5,54335,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09,48.971944,-117.904722,53,65,950100,53065950100,9501,Census Tract 9501,G5020,S,1741564196,68834193,48.8298484,-117.8756194,1400000US53065950100,53065950100,"Census Tract 9501, Stevens County, Washington",2204,186,34,31,0,17,7,8,43,34,40,30,27,14,5,8,23,16,15,13,46,30,82,42,144,54,148,78,213,74,136,43,306,90,142,53,255,63,146,54,173,55,148,95,64,39,0,17,7,8,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,4749,2,6,63492,2012_WA-COF-0001010_RADIO,9/9/12,48.976944,-118.234722,53,19,970100,53019970100,9701,Census Tract 9701,G5020,S,2004858965,15919648,48.7935735,-118.4168881,1400000US53019970100,53019970100,"Census Tract 9701, Ferry County, Washington",866,113,14,16,17,23,17,20,0,12,9,14,16,14,9,13,42,30,22,23,10,12,35,20,68,41,6,9,34,21,25,23,91,43,34,26,92,47,94,55,131,53,14,12,37,24,3,5,37,32,0,12,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,4750,2,7,89790,2012_WA-COF-0001010_RADIO,9/9/12,48.976944,-118.234722,53,19,970100,53019970100,9701,Census Tract 9701,G5020,S,2004858965,15919648,48.7935735,-118.4168881,1400000US53019970100,53019970100,"Census Tract 9701, Ferry County, Washington",866,113,14,16,17,23,17,20,0,12,9,14,16,14,9,13,42,30,22,23,10,12,35,20,68,41,6,9,34,21,25,23,91,43,34,26,92,47,94,55,131,53,14,12,37,24,3,5,37,32,0,12,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,4751,2,8,82299,2012_WA-COF-0001010_RADIO,9/9/12,48.976944,-118.234722,53,19,970100,53019970100,9701,Census Tract 9701,G5020,S,2004858965,15919648,48.7935735,-118.4168881,1400000US53019970100,53019970100,"Census Tract 9701, Ferry County, Washington",866,113,14,16,17,23,17,20,0,12,9,14,16,14,9,13,42,30,22,23,10,12,35,20,68,41,6,9,34,21,25,23,91,43,34,26,92,47,94,55,131,53,14,12,37,24,3,5,37,32,0,12,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,4752,2,9,55936,2012_WA-COF-0001010_RADIO,9/9/12,48.976944,-118.234722,53,19,970100,53019970100,9701,Census Tract 9701,G5020,S,2004858965,15919648,48.7935735,-118.4168881,1400000US53019970100,53019970100,"Census Tract 9701, Ferry County, Washington",866,113,14,16,17,23,17,20,0,12,9,14,16,14,9,13,42,30,22,23,10,12,35,20,68,41,6,9,34,21,25,23,91,43,34,26,92,47,94,55,131,53,14,12,37,24,3,5,37,32,0,12,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
