FID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,UID,INCIDENT_I,START_DATE,LATITUDE,LONGITUDE,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10,PARTFLG,HOUSING10,POP10
0,5,4359,38,0,10399,2012_MT-FHA-127_PERMA BRIDGE,8/19/12,47.375278,-114.595833,30,89,940300,1182,3.00899E+14,N,0,0
1,5,802,8,1,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09,48.971944,-117.904722,53,65,950100,4014,5.3066E+14,N,0,0
2,5,803,8,2,44327,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09,48.971944,-117.904722,53,65,950100,4014,5.3066E+14,N,0,0
3,5,804,8,3,49267,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09,48.971944,-117.904722,53,65,950100,4014,5.3066E+14,N,0,0
4,5,805,8,4,37573,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09,48.971944,-117.904722,53,65,950100,4014,5.3066E+14,N,0,0
5,5,806,8,5,54335,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09,48.971944,-117.904722,53,65,950100,4014,5.3066E+14,N,0,0
6,4,4749,28,6,63492,2012_WA-COF-0001010_RADIO,9/9/12,48.976944,-118.234722,53,19,970100,1078,5.302E+14,N,0,0
7,4,4750,28,7,89790,2012_WA-COF-0001010_RADIO,9/9/12,48.976944,-118.234722,53,19,970100,1078,5.302E+14,N,0,0
8,4,4751,28,8,82299,2012_WA-COF-0001010_RADIO,9/9/12,48.976944,-118.234722,53,19,970100,1078,5.302E+14,N,0,0
9,4,4752,28,9,55936,2012_WA-COF-0001010_RADIO,9/9/12,48.976944,-118.234722,53,19,970100,1078,5.302E+14,N,0,0
10,6,761,18,10,92834,2009_MT-FNF-000050_NINKO CREEK,9/18/09,48.870556,-114.595,30,29,100,3082,3.0029E+14,N,36,5
11,6,762,18,11,38265,2009_MT-FNF-000050_NINKO CREEK,9/18/09,48.870556,-114.595,30,29,100,3082,3.0029E+14,N,36,5
12,6,763,18,12,22372,2009_MT-FNF-000050_NINKO CREEK,9/18/09,48.870556,-114.595,30,29,100,3082,3.0029E+14,N,36,5
13,6,764,18,13,54039,2009_MT-FNF-000050_NINKO CREEK,9/18/09,48.870556,-114.595,30,29,100,3082,3.0029E+14,N,36,5
14,6,765,18,14,78156,2009_MT-FNF-000050_NINKO CREEK,9/18/09,48.870556,-114.595,30,29,100,3082,3.0029E+14,N,36,5
15,6,766,18,15,85157,2009_MT-FNF-000050_NINKO CREEK,9/18/09,48.870556,-114.595,30,29,100,3082,3.0029E+14,N,36,5
16,13,2268,13,16,10021,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
17,13,2269,13,17,47559,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
18,13,2270,13,18,81843,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
19,13,2271,13,19,52575,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
20,13,2272,13,20,38001,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
21,13,2273,13,21,50344,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
22,13,2274,13,22,76753,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
23,13,2275,13,23,29741,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
24,13,2276,13,24,73678,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
25,13,2277,13,25,72754,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
26,13,2278,13,26,27863,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
27,13,2279,13,27,94504,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
28,13,2280,13,28,77063,2011_ID-IPF-007007_BIRTHDAY,9/5/11,48.825556,-116.729167,16,17,950600,1128,1.6018E+14,N,0,0
29,7,444,79,29,99839,2008_WA-NES-412_DOYLE COMPLEX,7/9/08,48.792778,-118.167778,53,19,970100,1159,5.302E+14,N,0,0
30,7,445,79,30,95552,2008_WA-NES-412_DOYLE COMPLEX,7/9/08,48.792778,-118.167778,53,19,970100,1159,5.302E+14,N,0,0
31,7,446,79,31,23621,2008_WA-NES-412_DOYLE COMPLEX,7/9/08,48.792778,-118.167778,53,19,970100,1159,5.302E+14,N,0,0
32,7,447,79,32,65853,2008_WA-NES-412_DOYLE COMPLEX,7/9/08,48.792778,-118.167778,53,19,970100,1159,5.302E+14,N,0,0
33,7,448,79,33,18217,2008_WA-NES-412_DOYLE COMPLEX,7/9/08,48.792778,-118.167778,53,19,970100,1159,5.302E+14,N,0,0
34,7,449,79,34,39963,2008_WA-NES-412_DOYLE COMPLEX,7/9/08,48.792778,-118.167778,53,19,970100,1159,5.302E+14,N,0,0
35,7,450,79,35,35356,2008_WA-NES-412_DOYLE COMPLEX,7/9/08,48.792778,-118.167778,53,19,970100,1159,5.302E+14,N,0,0
36,3,3038,45,36,70216,2011_WA-NES-498_MARYLS ROAD,8/9/11,48.713889,-119.111111,53,47,970300,2183,5.3048E+14,N,46,69
37,3,3039,45,37,87286,2011_WA-NES-498_MARYLS ROAD,8/9/11,48.713889,-119.111111,53,47,970300,2183,5.3048E+14,N,46,69
38,3,3040,45,38,80178,2011_WA-NES-498_MARYLS ROAD,8/9/11,48.713889,-119.111111,53,47,970300,2183,5.3048E+14,N,46,69
39,9,435,42,39,28216,2008_WA-NES-358_CAYUSE FIRE,7/9/08,48.691944,-119.2,53,47,970300,1231,5.3048E+14,N,0,0
40,9,436,42,40,65449,2008_WA-NES-358_CAYUSE FIRE,7/9/08,48.691944,-119.2,53,47,970300,1231,5.3048E+14,N,0,0
