FID,Join_Count,TARGET_FID,UID,INCIDENT_I,START_DATE,LATITUDE,LONGITUDE,Bound_Ind,NEAR_FID,NEAR_DIST,UID_1,INCIDENT_1,START_DA_1,LATITUDE_1,LONGITUDE_,Bound_Ind_,NEAR_FID_1,NEAR_DIST_,INCIDENT_2,KS_COMPLEX,COMPLEX_FL,LTFS_DAY,LTFS_FIRE,REPORT_YEA,INCIDENT_N,ST_INCNUM,REPORT_DAT,REPORT_DOY,HOUR,INCIDENT_3,START_YEAR,START_DA_2,START_DOY,START_DA_3,START_DOY_,STATUS,AREA,AREA_MEASU,TYPE_INC,SUPPRESSIO,IC_NAME,IMT_TYPE,IMT_TYPE_D,CAUSE,CAUSE_DESC,COUNTY,LL_QC,UN_USTATE,UN_UNITID,NWCG_UNITI,GACC,UnitType,Department,Agency,OWNERSHIP_,OWNERSHIP1,P_CONTAIN,PERCENT_MM,EXP_CONTAI,LINE_TO_BU,LINE_MEASU,EST_CONTRO,DEMOBE_STA,CONTROLLED,INJURIES_T,INJURIES,FATALITIES,EVACUATION,NO_EVACUAT,POTENTIAL,NO_LIKELY,C_WIND_SPE,C_WIND_DIR,C_TEMP,C_TEMPH,C_TEMPL,C_RH,C_RHL,C_RHH,F_WIND_SPE,F_WIND_DIR,F_TEMP,F_TEMPL,F_TEMPH,F_RH,F_RHL,F_RHH,PRIMARY_FU,GROWTH_POT,TERRAIN,GACC_PRIOR,DISPATCH_P,SUPPNUM,UNIT_TYPE,ST_INC,ST_UNIT,INC_ID,MAX_AREA_I,FSCLASS,FSCLASS_IN,AREA_Log,npl,SUPPRESS_1,SUPP_DECRE,SUPP_MIX,DURATION,IMT_RANK,Elevation,Z,ORIG_FID,Z_Min,Z_Max,Z_Mean
0,5,4359,10399,2012_MT-FHA-127_PERMA BRIDGE,8/19/2012 0:00:00,47.375278000000002,-114.595833000000000,0,10788,1.000000000000000,96458,2012_MT-FHA-127_PERMA BRIDGE,8/19/2012 0:00:00,47.375278000000002,-114.595833000000000,0,4359,0.000000000000000,2012_MT-FHA-127_PERMA BRIDGE,NA,NA,NA,NA,2012,MT-FHA-127,MT,20-Aug-12,233,1637,PERMA BRIDGE,2012,19-Aug-12,232,19-Aug-12,232,I,325,ACRES,WF,FS,MCCREA,4,Type 3 IC,H,Human,SANDERS,NA,MT,FHA,MTFHA,NR,Federal,USDI,BIA,MT,FHA,60,P,NA,0,CHAINS,NA,NA,NA,0,0,0,N,Y,N,Y,156,SSW,144,87,87,17,8,8,315,SE,260,70,65,90,13,14,2,High,High,0,NA,1,Federal,MT,MT,528,403,E,E,5.786897381000000,4,FS,0,0,7,D,995,990.500262674000060,0,0.000000000000000,359.745361328000000,164.804260056999990
1,5,802,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/2009 0:00:00,48.971944000000001,-117.904722000000010,0,10788,1.000000000000000,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/2009 0:00:00,48.971944000000001,-117.904722000000010,0,803,0.000000000000000,2009_WA-NES-1374_9 MILE BRIDGE,NA,NA,NA,NA,2009,WA-NES-1374,WA,4-Sep-09,247,1630,9 MILE BRIDGE,2009,3-Sep-09,246,3-Sep-09,246,I,95,ACRES,WF,FS,Forrest Ambey,3,Type 3 Team,L,Lightning,Stevens,NA,WA,NES,WANES,NW,State,WA,DNR,WA,NES,20,P,6-Sep-09,20,CHAINS,7-Sep-09,6-Sep-09,NA,0,0,0,N,N,N,N,7,varies,84,59,59,113,50,50,NA,NA,NA,NA,NA,NA,NA,NA,2,Medium,Medium,0,NA,1,State,WA,WA,157,115,C,D,4.564348191000000,3,FS,0,0,4,D,898,901.280147328999990,1,0.000000000000000,359.409332275000000,172.081415091999990
2,5,803,44327,2009_WA-NES-1374_9 MILE BRIDGE,9/3/2009 0:00:00,48.971944000000001,-117.904722000000010,0,10788,1.000000000000000,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/2009 0:00:00,48.971944000000001,-117.904722000000010,0,803,0.000000000000000,2009_WA-NES-1374_9 MILE BRIDGE,NA,NA,NA,NA,2009,WA-NES-1374,WA,4-Sep-09,247,1630,9 MILE BRIDGE,2009,3-Sep-09,246,3-Sep-09,246,I,95,ACRES,WF,FS,Forrest Ambey,3,Type 3 Team,L,Lightning,Stevens,NA,WA,NES,WANES,NW,State,WA,DNR,WA,NES,20,P,6-Sep-09,20,CHAINS,7-Sep-09,6-Sep-09,NA,0,0,0,N,N,N,N,7,varies,84,59,59,113,50,50,NA,NA,NA,NA,NA,NA,NA,NA,2,Medium,Medium,0,NA,1,State,WA,WA,157,115,C,D,4.564348191000000,3,FS,0,0,4,D,898,901.280147328999990,2,0.000000000000000,359.409332275000000,172.081415091999990
3,5,804,49267,2009_WA-NES-1374_9 MILE BRIDGE,9/3/2009 0:00:00,48.971944000000001,-117.904722000000010,0,10788,1.000000000000000,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/2009 0:00:00,48.971944000000001,-117.904722000000010,0,803,0.000000000000000,2009_WA-NES-1374_9 MILE BRIDGE,NA,NA,NA,NA,2009,WA-NES-1374,WA,4-Sep-09,247,1630,9 MILE BRIDGE,2009,3-Sep-09,246,3-Sep-09,246,I,95,ACRES,WF,FS,Forrest Ambey,3,Type 3 Team,L,Lightning,Stevens,NA,WA,NES,WANES,NW,State,WA,DNR,WA,NES,20,P,6-Sep-09,20,CHAINS,7-Sep-09,6-Sep-09,NA,0,0,0,N,N,N,N,7,varies,84,59,59,113,50,50,NA,NA,NA,NA,NA,NA,NA,NA,2,Medium,Medium,0,NA,1,State,WA,WA,157,115,C,D,4.564348191000000,3,FS,0,0,4,D,898,901.280147328999990,3,0.000000000000000,359.409332275000000,172.081415091999990
4,5,805,37573,2009_WA-NES-1374_9 MILE BRIDGE,9/3/2009 0:00:00,48.971944000000001,-117.904722000000010,0,10788,1.000000000000000,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/2009 0:00:00,48.971944000000001,-117.904722000000010,0,803,0.000000000000000,2009_WA-NES-1374_9 MILE BRIDGE,NA,NA,NA,NA,2009,WA-NES-1374,WA,4-Sep-09,247,1630,9 MILE BRIDGE,2009,3-Sep-09,246,3-Sep-09,246,I,95,ACRES,WF,FS,Forrest Ambey,3,Type 3 Team,L,Lightning,Stevens,NA,WA,NES,WANES,NW,State,WA,DNR,WA,NES,20,P,6-Sep-09,20,CHAINS,7-Sep-09,6-Sep-09,NA,0,0,0,N,N,N,N,7,varies,84,59,59,113,50,50,NA,NA,NA,NA,NA,NA,NA,NA,2,Medium,Medium,0,NA,1,State,WA,WA,157,115,C,D,4.564348191000000,3,FS,0,0,4,D,898,901.280147328999990,4,0.000000000000000,359.409332275000000,172.081415091999990
5,5,806,54335,2009_WA-NES-1374_9 MILE BRIDGE,9/3/2009 0:00:00,48.971944000000001,-117.904722000000010,0,10788,1.000000000000000,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/2009 0:00:00,48.971944000000001,-117.904722000000010,0,803,0.000000000000000,2009_WA-NES-1374_9 MILE BRIDGE,NA,NA,NA,NA,2009,WA-NES-1374,WA,4-Sep-09,247,1630,9 MILE BRIDGE,2009,3-Sep-09,246,3-Sep-09,246,I,95,ACRES,WF,FS,Forrest Ambey,3,Type 3 Team,L,Lightning,Stevens,NA,WA,NES,WANES,NW,State,WA,DNR,WA,NES,20,P,6-Sep-09,20,CHAINS,7-Sep-09,6-Sep-09,NA,0,0,0,N,N,N,N,7,varies,84,59,59,113,50,50,NA,NA,NA,NA,NA,NA,NA,NA,2,Medium,Medium,0,NA,1,State,WA,WA,157,115,C,D,4.564348191000000,3,FS,0,0,4,D,898,901.280147328999990,5,0.000000000000000,359.409332275000000,172.081415091999990
6,4,4749,63492,2012_WA-COF-0001010_RADIO,9/9/2012 0:00:00,48.976944000000003,-118.234722000000000,0,10788,1.000000000000000,63492,2012_WA-COF-0001010_RADIO,9/9/2012 0:00:00,48.976944000000003,-118.234722000000000,0,4750,0.000000000000000,2012_WA-COF-0001010_RADIO,NA,NA,1,NA,2012,WA-COF-0001010,WA,5-Oct-12,279,900,RADIO,2012,9-Sep-12,253,9-Sep-12,253,I,121,ACRES,WF,CC,SHANE ROBSON,4,Type 3 IC,L,Lightning,FERRY,NA,WA,COF,WACOF,NW,Federal,USDA,FS,WA,COF,30,P,31-Oct-12,0,CHAINS,31-Oct-12,NA,NA,0,0,0,N,Y,Y,N,8,S,73,54,54,73,25,25,11,SOUTH,120,45,40,160,24,25,10,Low,Extreme,0,NA,2,Federal,WA,WA,553,191,D,D,4.804021045000000,2,NFS,0,0,19,D,877,897.376081326999950,6,-1.000000000000000,359.813354491999970,166.601042796999990
7,4,4750,89790,2012_WA-COF-0001010_RADIO,9/9/2012 0:00:00,48.976944000000003,-118.234722000000000,0,10788,1.000000000000000,63492,2012_WA-COF-0001010_RADIO,9/9/2012 0:00:00,48.976944000000003,-118.234722000000000,0,4750,0.000000000000000,2012_WA-COF-0001010_RADIO,NA,NA,1,NA,2012,WA-COF-0001010,WA,5-Oct-12,279,900,RADIO,2012,9-Sep-12,253,9-Sep-12,253,I,121,ACRES,WF,CC,SHANE ROBSON,4,Type 3 IC,L,Lightning,FERRY,NA,WA,COF,WACOF,NW,Federal,USDA,FS,WA,COF,30,P,31-Oct-12,0,CHAINS,31-Oct-12,NA,NA,0,0,0,N,Y,Y,N,8,S,73,54,54,73,25,25,11,SOUTH,120,45,40,160,24,25,10,Low,Extreme,0,NA,2,Federal,WA,WA,553,191,D,D,4.804021045000000,2,NFS,0,0,19,D,877,897.376081326999950,7,-1.000000000000000,359.813354491999970,166.601042796999990
8,4,4751,82299,2012_WA-COF-0001010_RADIO,9/9/2012 0:00:00,48.976944000000003,-118.234722000000000,0,10788,1.000000000000000,63492,2012_WA-COF-0001010_RADIO,9/9/2012 0:00:00,48.976944000000003,-118.234722000000000,0,4750,0.000000000000000,2012_WA-COF-0001010_RADIO,NA,NA,1,NA,2012,WA-COF-0001010,WA,5-Oct-12,279,900,RADIO,2012,9-Sep-12,253,9-Sep-12,253,I,121,ACRES,WF,CC,SHANE ROBSON,4,Type 3 IC,L,Lightning,FERRY,NA,WA,COF,WACOF,NW,Federal,USDA,FS,WA,COF,30,P,31-Oct-12,0,CHAINS,31-Oct-12,NA,NA,0,0,0,N,Y,Y,N,8,S,73,54,54,73,25,25,11,SOUTH,120,45,40,160,24,25,10,Low,Extreme,0,NA,2,Federal,WA,WA,553,191,D,D,4.804021045000000,2,NFS,0,0,19,D,877,897.376081326999950,8,-1.000000000000000,359.813354491999970,166.601042796999990
9,4,4752,55936,2012_WA-COF-0001010_RADIO,9/9/2012 0:00:00,48.976944000000003,-118.234722000000000,0,10788,1.000000000000000,63492,2012_WA-COF-0001010_RADIO,9/9/2012 0:00:00,48.976944000000003,-118.234722000000000,0,4750,0.000000000000000,2012_WA-COF-0001010_RADIO,NA,NA,1,NA,2012,WA-COF-0001010,WA,5-Oct-12,279,900,RADIO,2012,9-Sep-12,253,9-Sep-12,253,I,121,ACRES,WF,CC,SHANE ROBSON,4,Type 3 IC,L,Lightning,FERRY,NA,WA,COF,WACOF,NW,Federal,USDA,FS,WA,COF,30,P,31-Oct-12,0,CHAINS,31-Oct-12,NA,NA,0,0,0,N,Y,Y,N,8,S,73,54,54,73,25,25,11,SOUTH,120,45,40,160,24,25,10,Low,Extreme,0,NA,2,Federal,WA,WA,553,191,D,D,4.804021045000000,2,NFS,0,0,19,D,877,897.376081326999950,9,-1.000000000000000,359.813354491999970,166.601042796999990
10,6,761,92834,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,10788,1.000000000000000,92834,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,762,0.000000000000000,2009_MT-FNF-000050_NINKO CREEK,NA,NA,1,NA,2009,MT-FNF-000050,MT,27-Sep-09,270,105,NINKO CREEK,2009,18-Sep-09,261,18-Sep-09,261,I,200,ACRES,WF,PZ,Borgen,3,Type 3 Team,L,Lightning,Flathead,NA,MT,FNF,MTFNF,NR,Federal,USDA,FS,MT,FNF,25,P,3-Oct-09,2,MILES,3-Oct-09,30-Sep-09,NA,1,0,0,N,N,N,N,232,W,125,74,74,33,11,11,116,WEST,190,56,56,105,14,22,10,Medium,Extreme,0,NA,3,Federal,MT,MT,151,662,D,E,5.303304908000000,2,NFS,0,2,25,D,2022,1965.696575870000100,10,0.000000000000000,359.798248290999990,172.735238111999990
11,6,762,38265,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,10788,1.000000000000000,92834,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,762,0.000000000000000,2009_MT-FNF-000050_NINKO CREEK,NA,NA,1,NA,2009,MT-FNF-000050,MT,27-Sep-09,270,105,NINKO CREEK,2009,18-Sep-09,261,18-Sep-09,261,I,200,ACRES,WF,PZ,Borgen,3,Type 3 Team,L,Lightning,Flathead,NA,MT,FNF,MTFNF,NR,Federal,USDA,FS,MT,FNF,25,P,3-Oct-09,2,MILES,3-Oct-09,30-Sep-09,NA,1,0,0,N,N,N,N,232,W,125,74,74,33,11,11,116,WEST,190,56,56,105,14,22,10,Medium,Extreme,0,NA,3,Federal,MT,MT,151,662,D,E,5.303304908000000,2,NFS,0,2,25,D,2022,1965.696575870000100,11,0.000000000000000,359.798248290999990,172.735238111999990
12,6,763,22372,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,10788,1.000000000000000,92834,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,762,0.000000000000000,2009_MT-FNF-000050_NINKO CREEK,NA,NA,1,NA,2009,MT-FNF-000050,MT,27-Sep-09,270,105,NINKO CREEK,2009,18-Sep-09,261,18-Sep-09,261,I,200,ACRES,WF,PZ,Borgen,3,Type 3 Team,L,Lightning,Flathead,NA,MT,FNF,MTFNF,NR,Federal,USDA,FS,MT,FNF,25,P,3-Oct-09,2,MILES,3-Oct-09,30-Sep-09,NA,1,0,0,N,N,N,N,232,W,125,74,74,33,11,11,116,WEST,190,56,56,105,14,22,10,Medium,Extreme,0,NA,3,Federal,MT,MT,151,662,D,E,5.303304908000000,2,NFS,0,2,25,D,2022,1965.696575870000100,12,0.000000000000000,359.798248290999990,172.735238111999990
13,6,764,54039,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,10788,1.000000000000000,92834,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,762,0.000000000000000,2009_MT-FNF-000050_NINKO CREEK,NA,NA,1,NA,2009,MT-FNF-000050,MT,27-Sep-09,270,105,NINKO CREEK,2009,18-Sep-09,261,18-Sep-09,261,I,200,ACRES,WF,PZ,Borgen,3,Type 3 Team,L,Lightning,Flathead,NA,MT,FNF,MTFNF,NR,Federal,USDA,FS,MT,FNF,25,P,3-Oct-09,2,MILES,3-Oct-09,30-Sep-09,NA,1,0,0,N,N,N,N,232,W,125,74,74,33,11,11,116,WEST,190,56,56,105,14,22,10,Medium,Extreme,0,NA,3,Federal,MT,MT,151,662,D,E,5.303304908000000,2,NFS,0,2,25,D,2022,1965.696575870000100,13,0.000000000000000,359.798248290999990,172.735238111999990
14,6,765,78156,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,10788,1.000000000000000,92834,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,762,0.000000000000000,2009_MT-FNF-000050_NINKO CREEK,NA,NA,1,NA,2009,MT-FNF-000050,MT,27-Sep-09,270,105,NINKO CREEK,2009,18-Sep-09,261,18-Sep-09,261,I,200,ACRES,WF,PZ,Borgen,3,Type 3 Team,L,Lightning,Flathead,NA,MT,FNF,MTFNF,NR,Federal,USDA,FS,MT,FNF,25,P,3-Oct-09,2,MILES,3-Oct-09,30-Sep-09,NA,1,0,0,N,N,N,N,232,W,125,74,74,33,11,11,116,WEST,190,56,56,105,14,22,10,Medium,Extreme,0,NA,3,Federal,MT,MT,151,662,D,E,5.303304908000000,2,NFS,0,2,25,D,2022,1965.696575870000100,14,0.000000000000000,359.798248290999990,172.735238111999990
15,6,766,85157,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,10788,1.000000000000000,92834,2009_MT-FNF-000050_NINKO CREEK,9/18/2009 0:00:00,48.870556000000001,-114.595000000000000,0,762,0.000000000000000,2009_MT-FNF-000050_NINKO CREEK,NA,NA,1,NA,2009,MT-FNF-000050,MT,27-Sep-09,270,105,NINKO CREEK,2009,18-Sep-09,261,18-Sep-09,261,I,200,ACRES,WF,PZ,Borgen,3,Type 3 Team,L,Lightning,Flathead,NA,MT,FNF,MTFNF,NR,Federal,USDA,FS,MT,FNF,25,P,3-Oct-09,2,MILES,3-Oct-09,30-Sep-09,NA,1,0,0,N,N,N,N,232,W,125,74,74,33,11,11,116,WEST,190,56,56,105,14,22,10,Medium,Extreme,0,NA,3,Federal,MT,MT,151,662,D,E,5.303304908000000,2,NFS,0,2,25,D,2022,1965.696575870000100,15,0.000000000000000,359.798248290999990,172.735238111999990
