FID,FID_1,Join_Count,TARGET_FID,UID,INCIDENT_I,START_DATE,LATITUDE,LONGITUDE,Bound_Ind,NEAR_FID,NEAR_DIST,UID_1,INCIDENT_1,START_DA_1,LATITUDE_1,LONGITUDE_,Bound_Ind_,NEAR_FID_1,NEAR_DIST_,INCIDENT_2,KS_COMPLEX,COMPLEX_FL,LTFS_DAY,LTFS_FIRE,REPORT_YEA,INCIDENT_N,ST_INCNUM,REPORT_DAT,REPORT_DOY,HOUR,INCIDENT_3,START_YEAR,START_DA_2,START_DOY,START_DA_3,START_DOY_,STATUS,AREA,AREA_MEASU,TYPE_INC,SUPPRESSIO,IC_NAME,IMT_TYPE,IMT_TYPE_D,CAUSE,CAUSE_DESC,COUNTY,LL_QC,UN_USTATE,UN_UNITID,NWCG_UNITI,GACC,UnitType,Department,Agency,OWNERSHIP_,OWNERSHIP1,P_CONTAIN,PERCENT_MM,EXP_CONTAI,LINE_TO_BU,LINE_MEASU,EST_CONTRO,DEMOBE_STA,CONTROLLED,INJURIES_T,INJURIES,FATALITIES,EVACUATION,NO_EVACUAT,POTENTIAL,NO_LIKELY,C_WIND_SPE,C_WIND_DIR,C_TEMP,C_TEMPH,C_TEMPL,C_RH,C_RHL,C_RHH,F_WIND_SPE,F_WIND_DIR,F_TEMP,F_TEMPL,F_TEMPH,F_RH,F_RHL,F_RHH,PRIMARY_FU,GROWTH_POT,TERRAIN,GACC_PRIOR,DISPATCH_P,SUPPNUM,UNIT_TYPE,ST_INC,ST_UNIT,INC_ID,MAX_AREA_I,FSCLASS,FSCLASS_IN,AREA_Log,npl,SUPPRESS_1,SUPP_DECRE,SUPP_MIX,DURATION,IMT_RANK,Elevation,Z,FID_2,USAF,stn_name,Distance
0,1,5,802,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09 0:00,48.971944,-117.904722,0,-1,-1,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09 0:00,48.971944,-117.904722,0,803,0,2009_WA-NES-1374_9 MILE BRIDGE,NA,NA,NA,NA,2009,WA-NES-1374,WA,4-Sep-09,247,1630,9 MILE BRIDGE,2009,3-Sep-09,246,3-Sep-09,246,I,95,ACRES,WF,FS,Forrest Ambey,3,Type 3 Team,L,Lightning,Stevens,NA,WA,NES,WANES,NW,State,WA,DNR,WA,NES,20,P,6-Sep-09,20,CHAINS,7-Sep-09,6-Sep-09,NA,0,0,0,N,N,N,N,7,varies,84,59,59,113,50,50,NA,NA,NA,NA,NA,NA,NA,NA,2,Medium,Medium,0,NA,1,State,WA,WA,157,115,C,D,4.564348191,3,FS,0,0,4,D,898,901.2801473,0,720322,SANDPOINT AIRPORT,187774.6542
1,2,5,803,44327,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09 0:00,48.971944,-117.904722,0,-1,-1,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09 0:00,48.971944,-117.904722,0,803,0,2009_WA-NES-1374_9 MILE BRIDGE,NA,NA,NA,NA,2009,WA-NES-1374,WA,4-Sep-09,247,1630,9 MILE BRIDGE,2009,3-Sep-09,246,3-Sep-09,246,I,95,ACRES,WF,FS,Forrest Ambey,3,Type 3 Team,L,Lightning,Stevens,NA,WA,NES,WANES,NW,State,WA,DNR,WA,NES,20,P,6-Sep-09,20,CHAINS,7-Sep-09,6-Sep-09,NA,0,0,0,N,N,N,N,7,varies,84,59,59,113,50,50,NA,NA,NA,NA,NA,NA,NA,NA,2,Medium,Medium,0,NA,1,State,WA,WA,157,115,C,D,4.564348191,3,FS,0,0,4,D,898,901.2801473,0,720322,SANDPOINT AIRPORT,187774.6542
2,3,5,804,49267,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09 0:00,48.971944,-117.904722,0,-1,-1,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09 0:00,48.971944,-117.904722,0,803,0,2009_WA-NES-1374_9 MILE BRIDGE,NA,NA,NA,NA,2009,WA-NES-1374,WA,4-Sep-09,247,1630,9 MILE BRIDGE,2009,3-Sep-09,246,3-Sep-09,246,I,95,ACRES,WF,FS,Forrest Ambey,3,Type 3 Team,L,Lightning,Stevens,NA,WA,NES,WANES,NW,State,WA,DNR,WA,NES,20,P,6-Sep-09,20,CHAINS,7-Sep-09,6-Sep-09,NA,0,0,0,N,N,N,N,7,varies,84,59,59,113,50,50,NA,NA,NA,NA,NA,NA,NA,NA,2,Medium,Medium,0,NA,1,State,WA,WA,157,115,C,D,4.564348191,3,FS,0,0,4,D,898,901.2801473,0,720322,SANDPOINT AIRPORT,187774.6542
3,4,5,805,37573,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09 0:00,48.971944,-117.904722,0,-1,-1,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09 0:00,48.971944,-117.904722,0,803,0,2009_WA-NES-1374_9 MILE BRIDGE,NA,NA,NA,NA,2009,WA-NES-1374,WA,4-Sep-09,247,1630,9 MILE BRIDGE,2009,3-Sep-09,246,3-Sep-09,246,I,95,ACRES,WF,FS,Forrest Ambey,3,Type 3 Team,L,Lightning,Stevens,NA,WA,NES,WANES,NW,State,WA,DNR,WA,NES,20,P,6-Sep-09,20,CHAINS,7-Sep-09,6-Sep-09,NA,0,0,0,N,N,N,N,7,varies,84,59,59,113,50,50,NA,NA,NA,NA,NA,NA,NA,NA,2,Medium,Medium,0,NA,1,State,WA,WA,157,115,C,D,4.564348191,3,FS,0,0,4,D,898,901.2801473,0,720322,SANDPOINT AIRPORT,187774.6542
4,5,5,806,54335,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09 0:00,48.971944,-117.904722,0,-1,-1,79773,2009_WA-NES-1374_9 MILE BRIDGE,9/3/09 0:00,48.971944,-117.904722,0,803,0,2009_WA-NES-1374_9 MILE BRIDGE,NA,NA,NA,NA,2009,WA-NES-1374,WA,4-Sep-09,247,1630,9 MILE BRIDGE,2009,3-Sep-09,246,3-Sep-09,246,I,95,ACRES,WF,FS,Forrest Ambey,3,Type 3 Team,L,Lightning,Stevens,NA,WA,NES,WANES,NW,State,WA,DNR,WA,NES,20,P,6-Sep-09,20,CHAINS,7-Sep-09,6-Sep-09,NA,0,0,0,N,N,N,N,7,varies,84,59,59,113,50,50,NA,NA,NA,NA,NA,NA,NA,NA,2,Medium,Medium,0,NA,1,State,WA,WA,157,115,C,D,4.564348191,3,FS,0,0,4,D,898,901.2801473,0,720322,SANDPOINT AIRPORT,187774.6542
5,16,13,2268,10021,2011_ID-IPF-007007_BIRTHDAY,9/5/11 0:00,48.825556,-116.729167,0,-1,-1,10021,2011_ID-IPF-007007_BIRTHDAY,9/5/11 0:00,48.825556,-116.729167,0,2269,0,2011_ID-IPF-007007_BIRTHDAY,NA,NA,1,NA,2011,ID-IPF-007007,ID,11-Sep-11,254,1630,BIRTHDAY,2011,5-Sep-11,248,5-Sep-11,248,I,150,ACRES,WF,CC,Kucera/Figgins (t),5,Type 4 IC,L,Lightning,Boundary,NA,ID,IPF,IDIPF,NR,Federal,USDA,FS,ID,IPF,0,P,30-Sep-11,0,CHAINS,30-Sep-11,30-Sep-11,NA,0,0,0,N,N,N,N,253,135,106,65,65,71,24,24,309,135,186,56,51,168,25,26,10,High,Extreme,1,NA,2,Federal,ID,ID,360,802,D,E,5.017279837,4,NFS,0,2,52,E,1840,1856.36061,0,720322,SANDPOINT AIRPORT,90552.03338
6,17,13,2269,47559,2011_ID-IPF-007007_BIRTHDAY,9/5/11 0:00,48.825556,-116.729167,0,-1,-1,10021,2011_ID-IPF-007007_BIRTHDAY,9/5/11 0:00,48.825556,-116.729167,0,2269,0,2011_ID-IPF-007007_BIRTHDAY,NA,NA,1,NA,2011,ID-IPF-007007,ID,11-Sep-11,254,1630,BIRTHDAY,2011,5-Sep-11,248,5-Sep-11,248,I,150,ACRES,WF,CC,Kucera/Figgins (t),5,Type 4 IC,L,Lightning,Boundary,NA,ID,IPF,IDIPF,NR,Federal,USDA,FS,ID,IPF,0,P,30-Sep-11,0,CHAINS,30-Sep-11,30-Sep-11,NA,0,0,0,N,N,N,N,253,135,106,65,65,71,24,24,309,135,186,56,51,168,25,26,10,High,Extreme,1,NA,2,Federal,ID,ID,360,802,D,E,5.017279837,4,NFS,0,2,52,E,1840,1856.36061,0,720322,SANDPOINT AIRPORT,90552.03338
7,18,13,2270,81843,2011_ID-IPF-007007_BIRTHDAY,9/5/11 0:00,48.825556,-116.729167,0,-1,-1,10021,2011_ID-IPF-007007_BIRTHDAY,9/5/11 0:00,48.825556,-116.729167,0,2269,0,2011_ID-IPF-007007_BIRTHDAY,NA,NA,1,NA,2011,ID-IPF-007007,ID,11-Sep-11,254,1630,BIRTHDAY,2011,5-Sep-11,248,5-Sep-11,248,I,150,ACRES,WF,CC,Kucera/Figgins (t),5,Type 4 IC,L,Lightning,Boundary,NA,ID,IPF,IDIPF,NR,Federal,USDA,FS,ID,IPF,0,P,30-Sep-11,0,CHAINS,30-Sep-11,30-Sep-11,NA,0,0,0,N,N,N,N,253,135,106,65,65,71,24,24,309,135,186,56,51,168,25,26,10,High,Extreme,1,NA,2,Federal,ID,ID,360,802,D,E,5.017279837,4,NFS,0,2,52,E,1840,1856.36061,0,720322,SANDPOINT AIRPORT,90552.03338
8,19,13,2271,52575,2011_ID-IPF-007007_BIRTHDAY,9/5/11 0:00,48.825556,-116.729167,0,-1,-1,10021,2011_ID-IPF-007007_BIRTHDAY,9/5/11 0:00,48.825556,-116.729167,0,2269,0,2011_ID-IPF-007007_BIRTHDAY,NA,NA,1,NA,2011,ID-IPF-007007,ID,11-Sep-11,254,1630,BIRTHDAY,2011,5-Sep-11,248,5-Sep-11,248,I,150,ACRES,WF,CC,Kucera/Figgins (t),5,Type 4 IC,L,Lightning,Boundary,NA,ID,IPF,IDIPF,NR,Federal,USDA,FS,ID,IPF,0,P,30-Sep-11,0,CHAINS,30-Sep-11,30-Sep-11,NA,0,0,0,N,N,N,N,253,135,106,65,65,71,24,24,309,135,186,56,51,168,25,26,10,High,Extreme,1,NA,2,Federal,ID,ID,360,802,D,E,5.017279837,4,NFS,0,2,52,E,1840,1856.36061,0,720322,SANDPOINT AIRPORT,90552.03338
9,20,13,2272,38001,2011_ID-IPF-007007_BIRTHDAY,9/5/11 0:00,48.825556,-116.729167,0,-1,-1,10021,2011_ID-IPF-007007_BIRTHDAY,9/5/11 0:00,48.825556,-116.729167,0,2269,0,2011_ID-IPF-007007_BIRTHDAY,NA,NA,1,NA,2011,ID-IPF-007007,ID,11-Sep-11,254,1630,BIRTHDAY,2011,5-Sep-11,248,5-Sep-11,248,I,150,ACRES,WF,CC,Kucera/Figgins (t),5,Type 4 IC,L,Lightning,Boundary,NA,ID,IPF,IDIPF,NR,Federal,USDA,FS,ID,IPF,0,P,30-Sep-11,0,CHAINS,30-Sep-11,30-Sep-11,NA,0,0,0,N,N,N,N,253,135,106,65,65,71,24,24,309,135,186,56,51,168,25,26,10,High,Extreme,1,NA,2,Federal,ID,ID,360,802,D,E,5.017279837,4,NFS,0,2,52,E,1840,1856.36061,0,720322,SANDPOINT AIRPORT,90552.03338
