"","REPORT_DATE","X","INCIDENT_ID_KS","KS_COMPLEX_NAME","COMPLEX_FLAG","LTFS_DAY","LTFS_FIRE","REPORT_YEAR","INCIDENT_NUMBER","ST_INCNUM","REPORT_DOY","HOUR","INCIDENT_NAME","START_YEAR","START_DATE","START_DOY","START_DATE_CORRECTED","START_DOY_CORRECTED","STATUS","AREA","AREA_MEASUREMENT","TYPE_INC","SUPPRESSION_METHOD","IC_NAME","IMT_TYPE","IMT_TYPE_DESCRIPTION","CAUSE","CAUSE_DESCR","COUNTY","LATITUDE","LONGITUDE","LL_QC","UN_USTATE","UN_UNITID","NWCG_UNITID","GACC","UnitType","Department","Agency","OWNERSHIP_STATE","OWNERSHIP_UNITID","P_CONTAIN","PERCENT_MMA","EXP_CONTAIN","LINE_TO_BUILD","LINE_MEASUREMENT","EST_CONTROL","DEMOBE_START","CONTROLLED_DATE","INJURIES_TO_DATE","INJURIES","FATALITIES","EVACUATION_IN_PROGRESS","NO_EVACUATION","POTENTIAL","NO_LIKELY","C_WIND_SPEED","C_WIND_DIRECTION","C_TEMP","C_TEMPH","C_TEMPL","C_RH","C_RHL","C_RHH","F_WIND_SPEED","F_WIND_DIRECTION","F_TEMP","F_TEMPL","F_TEMPH","F_RH","F_RHL","F_RHH","PRIMARY_FUEL_MODEL","GROWTH_POTENTIAL","TERRAIN","GACC_PRIORITY","DISPATCH_PRIORITY","UNIT_TYPE","ST_INC","ST_UNIT","FSCLASS","MAX_AREA_INC","FSCLASS_INC","AREA_Log","SUPPRESSION_BI","SUPP_DECREASE","SUPP_MIX","IMT_NUM","SUPPNUM","INC_ID","LOG_AREA","npl","DURATION","IMT_RANK","INCIDENT_I","lat","lon","usaf.x","stn_name.x","UYDOY","usaf.y","stn_name.y","YEAR","MONTH","DAY","YDAY","YEARMODA","ELEV_M","TEMP","DEWP","VISIB","WDSP","MXSPD","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH"
"1","26-Aug-08",6206,"2008_ID-EIS-008020_MEADOW CREEK",NA,NA,NA,NA,2008,"ID-EIS-008020","ID",239,1750,"MEADOW CREEK",2008,"26-Aug-08",239,"26-Aug-08",239,"I",750,"ACRES","WF","FS","Dustin Wessel","5","Type 4 IC","U","Under Investigation","Bonneville",43.515556,111.678889,NA,"ID","EIS","IDEIS","EB","State","ID","DL","ID","EIS",20,"P","27-Aug-08",200,"CHAINS",NA,NA,NA,0,0,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Medium","High",1,NA,"State","ID","ID","E",987,"E",6.62140565176413,"FS",0,0,5,1,1,6.62140565176413,3,2,"E","2008_ID-EIS-008020_MEADOW CREEK",43.515556,-111.678889,725785,"IDAHO FALLS REGIONAL ARPT","725785 2008 239",725785,"IDAHO FALLS REGIONAL ARPT",2008,8,26,239,"2008-08-26",1442.6,19.2,3.6,15.1,8.1,13.4,0,0,0,0,0,0,0.8,2.2,36.4
"2","27-Aug-08",6208,"2008_ID-EIS-008020_MEADOW CREEK",NA,NA,NA,NA,2008,"ID-EIS-008020","ID",240,1810,"MEADOW CREEK",2008,"26-Aug-08",239,"26-Aug-08",239,"U",987,"ACRES","WF","FS","Richard Zimmerman","4","Type 3 IC","U","Under Investigation","Bonneville",43.515556,111.678889,NA,"ID","EIS","IDEIS","EB","State","ID","DL","ID","EIS",100,"P","27-Aug-08",0,"CHAINS","28-Aug-08",NA,NA,0,0,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Medium","High",5,NA,"State","ID","ID","E",987,"E",6.62140565176413,"FS",0,0,4,1,1,6.62140565176413,3,2,"D","2008_ID-EIS-008020_MEADOW CREEK",43.515556,-111.678889,725785,"IDAHO FALLS REGIONAL ARPT","725785 2008 240",725785,"IDAHO FALLS REGIONAL ARPT",2008,8,27,240,"2008-08-27",1442.6,16.4,-4.3,15.9,6.9,12.4,0,0,0,0,0,0,0.4,1.9,21.1
"3","28-Aug-08",6211,"2008_ID-EIS-008020_MEADOW CREEK",NA,NA,NA,NA,2008,"ID-EIS-008020","ID",241,1730,"MEADOW CREEK",2008,"26-Aug-08",239,"26-Aug-08",239,"F",987,"ACRES","WF","FS","Richard Zimmerman","4","Type 3 IC","U","Under Investigation","Bonneville",43.515556,111.678889,NA,"ID","EIS","IDEIS","EB","State","ID","DL","ID","EIS",100,"P","27-Aug-08",0,"CHAINS","28-Aug-08",NA,"28-Aug-08",0,0,0,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Medium","High",NA,NA,"State","ID","ID","E",987,"E",6.62140565176413,"FS",0,0,4,1,1,6.62140565176413,3,2,"D","2008_ID-EIS-008020_MEADOW CREEK",43.515556,-111.678889,725785,"IDAHO FALLS REGIONAL ARPT","725785 2008 241",725785,"IDAHO FALLS REGIONAL ARPT",2008,8,28,241,"2008-08-28",1442.6,16.7,3,15.4,4.2,10.8,0,0,0,0,0,0,0.8,1.9,42.1
"4","22-Aug-08",6173,"2008_ID-LEX-8336_4TH OF JULY",NA,NA,NA,NA,2008,"ID-LEX-8336","ID",235,1700,"4TH OF JULY",2008,"21-Aug-08",234,"21-Aug-08",234,"I",330,"ACRES","WF","FS","Eric Ellis","3","Type 3 Team","H","Human","Lemhi",45.371111,113.935556,NA,"ID","LEX","IDLEX","EB","County & Local","ID","C&L","ID","LEX",NA,"P","22-Aug-08",NA,"CHAINS","23-Aug-08",NA,NA,NA,NA,NA,"N","N","N","N",182,"VARIABLE",84,59,59,57,18,18,266,"Varible",186,56,51,120,18,19,1,"Medium","Medium",1,NA,"County & Local","ID","ID","E",330,"E",5.80211837537706,"FS",0,0,3,1,2,5.80211837537706,3,1,"D","2008_ID-LEX-8336_4TH OF JULY",45.371111,-113.935556,726865,"LEMHI COUNTY AIRPORT","726865 2008 235",726865,"LEMHI COUNTY AIRPORT",2008,8,22,235,"2008-08-22",1232.6,13.2,1.1,15.8,3.8,13.9,0,0,0,0,0,0,0.7,1.5,46.7
"5","23-Aug-08",6197,"2008_ID-LEX-8336_4TH OF JULY",NA,NA,NA,NA,2008,"ID-LEX-8336","ID",236,1600,"4TH OF JULY",2008,"21-Aug-08",234,"21-Aug-08",234,"F",330,"ACRES","WF","FS","Dave Brizendine","5","Type 4 IC","H","Human","Lemhi",45.371111,113.935556,NA,"ID","LEX","IDLEX","EB","County & Local","ID","C&L","ID","LEX",100,"P","22-Aug-08",0,"CHAINS","23-Aug-08",NA,NA,NA,NA,NA,"N","N","N","N",278,"ENE",81,57,57,17,8,8,55,"SW",246,66,61,13,6,7,1,"Low","Medium",NA,NA,"County & Local","ID","ID","E",330,"E",5.80211837537706,"FS",0,0,5,1,2,5.80211837537706,3,1,"E","2008_ID-LEX-8336_4TH OF JULY",45.371111,-113.935556,726865,"LEMHI COUNTY AIRPORT","726865 2008 236",726865,"LEMHI COUNTY AIRPORT",2008,8,23,236,"2008-08-23",1232.6,14.6,-0.4,15.1,0.4,2.6,0,0,0,0,0,0,0.6,1.7,35.3
"6","8-Aug-08",6123,"2008_ID-MCS-00042014_CHURCH CANYON",NA,NA,NA,NA,2008,"ID-MCS-00042014","ID",221,1530,"CHURCH CANYON",2008,"7-Aug-08",220,"7-Aug-08",220,"I",110,"ACRES","WF","FS","Ken Decker","5","Type 4 IC","L","Lightning","Idaho",46.266667,115.933611,NA,"ID","MCS","IDMCS","NR","State","ID","DL","ID","MCS",70,"P","9-Aug-08",2500,"FEET","9-Aug-08","9-Aug-08",NA,0,0,0,"N","N","Y","N",189,"VARIABLE",138,82,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Medium","High",1,NA,"State","ID","ID","D",800,"E",4.70953020131233,"FS",0,0,5,1,3,4.70953020131233,4,7,"E","2008_ID-MCS-00042014_CHURCH CANYON",46.266667,-115.933611,725784,"ELK CITY","725784 2008 221",725784,"ELK CITY",2008,8,8,221,"2008-08-08",451.1,23.4,17.1,NA,1.2,5.7,0,0,0,0,0,0,1.9,2.9,65.5
"7","9-Aug-08",6132,"2008_ID-MCS-00042014_CHURCH CANYON",NA,NA,NA,NA,2008,"ID-MCS-00042014","ID",222,2030,"CHURCH CANYON",2008,"7-Aug-08",220,"7-Aug-08",220,"U",720,"ACRES","WF","FS","Ken Decker","5","Type 4 IC","L","Lightning","Idaho",46.266667,115.933611,NA,"ID","MCS","IDMCS","NR","State","ID","DL","ID","MCS",10,"P","9-Aug-08",240,"FEET",NA,NA,NA,0,0,0,"N","N","N","N",189,"NW",135,80,80,57,18,18,19,"nw",66,35,30,289,71,73,3,"Medium","High",1,NA,"State","ID","ID","E",800,"E",4.70953020131233,"FS",0,0,5,1,3,4.70953020131233,4,7,"E","2008_ID-MCS-00042014_CHURCH CANYON",46.266667,-115.933611,725784,"ELK CITY","725784 2008 222",725784,"ELK CITY",2008,8,9,222,"2008-08-09",451.1,22.9,14.8,NA,0.6,3.6,0,0,0,0,0,0,1.7,2.8,60.7
"8","10-Aug-08",6146,"2008_ID-MCS-00042014_CHURCH CANYON",NA,NA,NA,NA,2008,"ID-MCS-00042014","ID",223,1800,"CHURCH CANYON",2008,"7-Aug-08",220,"7-Aug-08",220,"U",720,"ACRES","WF","FS","Ken Thompson","5","Type 4 IC","L","Lightning","Idaho",46.266667,115.933611,NA,"ID","MCS","IDMCS","NR","State","ID","DL","ID","MCS",40,"P","12-Aug-08",1,"MILES",NA,NA,NA,0,0,0,"N","Y","N","N",36,"NW",118,71,71,71,24,24,309,"var",214,59,64,127,18,31,3,"Medium","High",1,NA,"State","ID","ID","E",800,"E",4.70953020131233,"FS",0,0,5,1,3,4.70953020131233,4,7,"E","2008_ID-MCS-00042014_CHURCH CANYON",46.266667,-115.933611,725784,"ELK CITY","725784 2008 223",725784,"ELK CITY",2008,8,10,223,"2008-08-10",451.1,19.3,10.2,NA,1,2.6,0,0,0,0,0,0,1.2,2.2,54.5
"9","11-Aug-08",6153,"2008_ID-MCS-00042014_CHURCH CANYON",NA,NA,NA,NA,2008,"ID-MCS-00042014","ID",224,1800,"CHURCH CANYON",2008,"7-Aug-08",220,"7-Aug-08",220,"U",800,"ACRES","WF","FS","Mark Grant","2","Type 2 Team","L","Lightning","Idaho",46.266667,115.933611,NA,"ID","MCS","IDMCS","NR","State","ID","DL","ID","MCS",60,"P","13-Aug-08",0,"MILES",NA,NA,NA,0,0,0,"N","Y","N","N",268,"SE",113,68,68,71,24,24,26,"west",240,64,70,42,8,22,3,"Medium","High",3,NA,"State","ID","ID","E",800,"E",4.70953020131233,"FS",0,0,2,1,3,4.70953020131233,4,7,"C","2008_ID-MCS-00042014_CHURCH CANYON",46.266667,-115.933611,725784,"ELK CITY","725784 2008 224",725784,"ELK CITY",2008,8,11,224,"2008-08-11",451.1,17.6,8.9,NA,0.6,2.1,0,0,0,0,0,0,1.1,2,55
"10","12-Aug-08",6160,"2008_ID-MCS-00042014_CHURCH CANYON",NA,NA,NA,NA,2008,"ID-MCS-00042014","ID",225,1800,"CHURCH CANYON",2008,"7-Aug-08",220,"7-Aug-08",220,"U",800,"ACRES","WF","FS","Mark Grant","2","Type 2 Team","L","Lightning","Idaho",46.266667,115.933611,NA,"ID","MCS","IDMCS","NR","State","ID","DL","ID","MCS",80,"P","13-Aug-08",40,"CHAINS",NA,NA,NA,1,1,0,"N","Y","N","N",239,"W",128,76,76,33,11,11,286,"nw",239,64,64,80,12,20,11,"Low","High",3,NA,"State","ID","ID","E",800,"E",4.70953020131233,"FS",0,0,2,1,3,4.70953020131233,4,7,"C","2008_ID-MCS-00042014_CHURCH CANYON",46.266667,-115.933611,725784,"ELK CITY","725784 2008 225",725784,"ELK CITY",2008,8,12,225,"2008-08-12",451.1,18.8,8.9,NA,0.8,2.1,0,0,0,0,0,0,1.1,2.2,50
