INCIDENT_ID_KS,KS_COMPLEX_NAME,COMPLEX_FLAG,LTFS_DAY,LTFS_FIRE,REPORT_YEAR,INCIDENT_NUMBER,ST_INCNUM,REPORT_DATE,REPORT_DOY,HOUR,INCIDENT_NAME,START_YEAR,START_DATE,START_DOY,START_DATE_CORRECTED,START_DOY_CORRECTED,STATUS,AREA,AREA_MEASUREMENT,TYPE_INC,SUPPRESSION_METHOD,IC_NAME,IMT_TYPE,IMT_TYPE_DESCRIPTION,CAUSE,CAUSE_DESCR,COUNTY,LATITUDE,LONGITUDE,LL_QC,UN_USTATE,UN_UNITID,NWCG_UNITID,GACC,UnitType,Department,Agency,OWNERSHIP_STATE,OWNERSHIP_UNITID,P_CONTAIN,PERCENT_MMA,EXP_CONTAIN,LINE_TO_BUILD,LINE_MEASUREMENT,EST_CONTROL,DEMOBE_START,CONTROLLED_DATE,INJURIES_TO_DATE,INJURIES,FATALITIES,EVACUATION_IN_PROGRESS,NO_EVACUATION,POTENTIAL,NO_LIKELY,C_WIND_SPEED,C_WIND_DIRECTION,C_TEMP,C_RH,F_WIND_SPEED,F_WIND_DIRECTION,F_TEMP,F_RH,PRIMARY_FUEL_MODEL,GROWTH_POTENTIAL,TERRAIN,GACC_PRIORITY,DISPATCH_PRIORITY,FAT,UNIT_TYPE,ST_INC,ST_UNIT
2008_ID-BOF-000453_LOST WFU,NA,NA,1,NA,2008,ID-BOF-000453,ID,24-Jul-08,206,1400,LOST WFU,2008,22-Jul-08,204,22-Jul-08,204,I,0.1,ACRES,WFU,NA,RUSS LONG,B,FUM2,L,Lightning,VALLEY,44.262778,115.408056,NA,ID,BOF,IDBOF,EB,Federal,USDA,FS,ID,BOF,0,P,NA,NA,NA,25-Aug-08,NA,NA,0,0,0,N,N,N,Y,281,W,121,24,358,W-SW,259,18,10,Low,High,NA,NA,0,Federal,ID,ID
2008_ID-BOF-000453_LOST WFU,NA,NA,1,NA,2008,ID-BOF-000453,ID,22-Sep-08,266,1515,LOST WFU,2008,22-Jul-08,204,22-Jul-08,204,F,0,ACRES,WFU,NA,RUSS LONG,B,FUM2,L,Lightning,VALLEY,44.262778,115.408056,NA,ID,BOF,IDBOF,EB,Federal,USDA,FS,ID,BOF,NA,P,NA,NA,NA,NA,NA,21-Sep-08,0,0,0,N,N,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,10,Low,High,NA,NA,0,Federal,ID,ID
2008_ID-BOF-000751_PIKES FORK WFU,NA,NA,1,NA,2008,ID-BOF-000751,ID,29-Sep-08,273,1518,PIKES FORK WFU,2008,20-Jul-08,202,20-Jul-08,202,I,0,ACRES,WFU,NA,RUSSELL LONG,B,FUM2,L,Lightning,BOISE,43.9875,115.5175,NA,ID,BOF,IDBOF,EB,Federal,USDA,FS,ID,BOF,NA,P,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,Y,302,WSW,155,24,NA,NA,NA,NA,10,Low,Medium,NA,NA,0,Federal,ID,ID
2008_ID-BOF-000751_PIKES FORK WFU,NA,NA,1,NA,2008,ID-BOF-000751,ID,1-Oct-08,275,1426,PIKES FORK WFU,2008,20-Jul-08,202,20-Jul-08,202,U,0,ACRES,WFU,NA,RUSSELL LONG,B,FUM2,L,Lightning,BOISE,43.9875,115.5175,NA,ID,BOF,IDBOF,EB,Federal,USDA,FS,ID,BOF,NA,P,NA,NA,NA,15-Oct-08,15-Oct-08,NA,0,0,0,N,N,N,Y,55,ESE,158,54,NA,NA,NA,NA,10,Low,Medium,NA,NA,0,Federal,ID,ID
2008_ID-BOF-000751_PIKES FORK WFU,NA,NA,1,NA,2008,ID-BOF-000751,ID,15-Oct-08,289,1334,PIKES FORK WFU,2008,20-Jul-08,202,20-Jul-08,202,F,0.1,ACRES,WFU,NA,RUSSELL LONG,B,FUM2,L,Lightning,BOISE,43.9875,115.5175,NA,ID,BOF,IDBOF,EB,Federal,USDA,FS,ID,BOF,NA,P,NA,NA,NA,15-Oct-08,15-Oct-08,15-Oct-08,0,0,0,N,N,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,10,Low,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,16-Jul-08,198,1326,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,I,2,ACRES,WFU,NA,Dylan Johnson,B,FUM2,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,P,NA,NA,NA,NA,NA,NA,0,0,NA,N,N,N,Y,186,SW,105,85,351,ne,259,77,10,Low,Low,NA,1,NA,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,1-Aug-08,214,1730,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,242,ACRES,WFU,NA,Dylan Johnson,B,FUM2,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,322,SSW,144,63,88,NA,275,141,10,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,2-Aug-08,215,1736,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,426,ACRES,WFU,NA,Dylan Johnson,B,FUM2,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,322,SW,121,54,82,SW,311,57,10,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,4-Aug-08,217,1645,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,735,ACRES,WFU,NA,Dylan Johnson,B,FUM2,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,55,SW,128,69,26,W,287,5,10,Medium,Medium,NA,1,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,8-Aug-08,221,1700,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,888,ACRES,WFU,NA,Chris Ourada,B,FUM2,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,Y,NA,NA,NA,NA,272,sw,208,219,10,Medium,Medium,NA,1,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,9-Aug-08,222,1740,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,930,ACRES,WFU,NA,Chris Ourada,B,FUM2,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,281,SE,132,108,442,SW,208,174,10,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,16-Aug-08,229,1730,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,1115,ACRES,WFU,NA,Chris Ourada,B,FUM2,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,281,S,128,51,178,Terrain,299,91,10,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,17-Aug-08,230,1753,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,1215,ACRES,WFU,NA,Chris Ourada,B,FUM2,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,217,S,124,69,26,S,299,354,10,Medium,Medium,3,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,18-Aug-08,231,1830,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,1825,ACRES,WFU,NA,Chris Ourada,B,FUM2,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,NA,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,55,S,137,24,82,S,268,112,10,Medium,Medium,NA,NA,0,Federal,ID,ID
2008_ID-CTF-008006_WILLOW WFU,NA,NA,1,NA,2008,ID-CTF-008006,ID,19-Aug-08,232,1735,WILLOW WFU,2008,14-Jul-08,196,14-Jul-08,196,U,2325,ACRES,WFU,NA,Chris Ourada,B,FUM2,L,Lightning,Fremont,44.523611,111.564444,NA,ID,CTF,IDCTF,EB,Federal,USDA,FS,ID,CTF,41316,M,NA,NA,NA,NA,NA,NA,0,0,0,N,N,N,N,NA,NA,NA,NA,126,SW,208,153,10,Medium,Medium,NA,NA,0,Federal,ID,ID
